users,text
6d2be0e9183417dcaf1ecda22bf05e3b,"\#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote  \#JeVoteMarine \#JeVotePourMarine \#JeVotePour  @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username @Username Nous sommes avec toi, Madame Le Pen !!! \#votelepen ! ⚜❤️\#MarineLePen❤⚜ ! \#MFGA !!! 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username ""Hollande et Cazeneuve donnent leur opinion chaque jour. Qu’avons-nous à faire de l’opinion de ceux qui ont ruiné la France ?"" \#SaintRaphaël 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Un nouveau soutien de poids pour @Username : Marie-France Garaud, une femme brillante et respectée de tous. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username '@Username offers 5 more years of failure, power to the EU and open borders. If @Username sticks in there, she can win in 2022.
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username OMG! @Username crying that President Trump's handshake was ""not innocent"". This is not a leader that helps French image much. \#MAGA 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Retweete si tu considères que seule @Username est capable de pouvoir lutter contre le terrorisme islamiste. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username ""Je vais gagner, le peuple français va gagner."" \#Présidentielle2017 @Username
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username .@Username ""Je veux l'expulsion de l'intégralité des fichés S étrangers, il n'y a aucune raison que nous les gardions."" \#DemainPrésident
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b," \#LePen @Username @Username @Username @Username @Username
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username 📣 RT 😉 ! \#LeGrandDébat \#Marine2017 \#AuNomDuPeuple \#AvecMarine 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Make France Great Again. 🇫🇷 @Username \#Bayrougate \#lepen \#presidentielle2017  \#jevotepour  \#ChoisirLaFrance \#Marine2017 \#MarconLeaks 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username Whatever you said... it was amazing. \#ImWithHer
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#MacronLeaks \#ViveLePen \#jevote @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username BREAKING: \#MacronLeaks Show @Username Is On Gay Mailing List, Top Aides Buying Drugs Online, And More 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"May this foreign interference enrage the french people enough to give @Username a landslide victory! He helped Brexit side win! lol. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Europe: Expectation Vs. Reality Rating 1* \#Brexit \#Nexit \#Frexit @Username @Username @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username Because Macron is a globalist elitist Muslim just like Obama. Marine Le Pen will shut down the Muslim invasion of France \#Marine2017
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Au tour de @Username d'intervenir avant le grand discours de @Username à \#Perpignan ! \#PerpignanMLP 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username C'est parti pour mon grand meeting à \#Perpignan ! 😊\#PerpignanMLP 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username France is fine ::winks:: @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username Islam. 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username Maire exemplaire, profondément donné à sa ville, trahi par @Username pour plaire a @Username ? Pitoyable.\#JesoutiensXavierLemoine ! 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username FINAL EDIT 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"Breaking! Merkel wins \#frenchelection ! @Username to head Vichy France replacing Marshal Philippe Pétain as \#lecuck . \#MacronLeaks
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username \#AuNomDuPeuple \#ChoisirLaFrance \#MarineLePen \#Marine2017 \#JeVote \#JeVoteMarine \#JeVotePourMarine \#JeVotePour @Username 
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username Le projet ne sera pas choisi car il est désastreux ! la Guyane est une île et macron est une île déserte!
"
6d2be0e9183417dcaf1ecda22bf05e3b,"@Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username @Username Trump hasn't saved them yet, but he is working very hard to do so and still judges are trying to stop him.
"
6d2be0e9183417dcaf1ecda22bf05e3b,"RT @Username @Username Et si vous étiez vraiment sensé, vous avoueriez que Marine a le meilleur programme pour les employés Français!!
"
